"mom_id","date","crude_petroluem_natural_gas","Petrol","natural_gas","coking_coal","non_coking_coal","Bitumen","crude_petroluem","LPG","Kerosene","electricity","Lignite","coal_total","petroluem_coke","WPI"
"2015-Oct","2015-10-01",160.29,114.69,56.48,65.61,152.33,17.01,105.26,39.76,15.52,324.34,7.69,60.66,4.04,60.88
"2015-Sep","2015-09-01",169.86,113.93,66.58,65.61,152.33,18.34,105.26,42.37,15.18,334.41,7.69,60.99,4.1,60.81
"2016-Apr","2016-04-01",144.96,94.89,50.55,65.61,152.33,14.54,95.74,38.83,14.48,318.05,7.69,60.04,3.15,60.24
"2016-Aug","2016-08-01",154.75,92.93,50.89,65.61,153.86,14.03,105.09,37.03,15.63,324.66,7.38,60.22,4.42,61.73
"2016-Dec","2016-12-01",161.14,114.99,46.04,65.61,153.86,15.43,115.97,43.94,17.25,334.09,7.38,60.57,4.87,61.61
"2016-Feb","2016-02-01",138.57,89.15,59.06,65.61,152.33,13.09,81.45,43.41,13.53,325.6,7.69,59.68,2.81,59.21
"2016-Jan","2016-01-01",134.53,96.71,58.24,65.61,152.33,14.58,78.05,49.16,14.58,333.15,7.69,60.05,2.7,59.66
"2016-Jul","2016-07-01",153.9,102.3,51.11,65.61,153.86,14.32,104.07,40.74,15.73,323.08,7.54,60.33,4.08,62.02
"2016-Jun","2016-06-01",157.31,109.4,51.15,65.61,153.86,14.54,107.3,41.38,15.16,323.4,7.54,60.39,3.67,61.89
"2016-Mar","2016-03-01",147.51,86.73,58.11,65.61,152.33,12.85,90.98,40.51,13.94,323.71,7.69,59.62,2.92,59.52
"2016-May","2016-05-01",153.47,99.58,50.89,65.61,152.33,14.96,103.9,39.93,14.56,321.51,7.54,60.11,3.36,61.17
"2016-Nov","2016-11-01",150.07,111.51,45.86,65.61,153.86,15.76,105.26,40.05,17.13,333.15,7.38,60.65,4.86,61.81
"2016-Oct","2016-10-01",151.77,108.04,45.31,65.61,153.86,14.3,107.47,36.97,16.22,326.86,7.38,60.29,4.8,61.73
"2016-Sep","2016-09-01",154.75,103.35,50.76,65.61,153.86,14.23,105.26,35.52,15.65,326.54,7.38,60.27,4.41,61.76
"2017-Apr","2017-04-01",151.35,118.31,43.76,87.67,153.86,15.54,108.49,53.45,18.56,324.97,7.9,66.24,4.66,62.42
"2017-Aug","2017-08-01",140.49,116.8,43.41,87.67,153.86,14.58,97.95,38.54,19.56,316.48,7.9,66.0,5.17,63.7
"2017-Dec","2017-12-01",167.1,125.26,47.54,85.21,153.44,17.65,120.57,53.22,21.57,322.14,9.44,66.43,5.67,63.79
"2017-Feb","2017-02-01",163.9,125.72,45.52,84.63,153.86,16.79,119.03,48.46,18.75,337.87,7.47,65.69,4.57,62.22
"2017-Jan","2017-01-01",164.54,124.81,46.17,79.65,153.86,16.23,119.37,44.05,18.25,339.44,7.38,64.28,4.6,62.04
"2017-Jul","2017-07-01",137.3,112.12,43.76,87.67,153.86,14.74,94.55,40.86,19.0,320.88,7.9,66.04,5.25,63.19
"2017-Jun","2017-06-01",136.23,116.05,43.71,87.67,153.86,15.25,93.53,41.67,19.02,320.88,7.9,66.17,5.08,62.38
"2017-Mar","2017-03-01",157.73,124.36,44.79,85.08,153.86,16.32,113.76,54.32,18.79,323.08,7.9,65.79,4.51,62.35
"2017-May","2017-05-01",147.73,117.41,43.71,87.67,153.86,15.23,104.92,47.19,18.98,323.4,7.9,66.17,4.93,62.43
"2017-Nov","2017-11-01",166.67,124.05,47.97,86.44,153.44,15.61,119.72,52.99,21.04,323.08,9.44,66.23,5.78,64.27
"2017-Oct","2017-10-01",158.8,121.79,48.1,87.67,153.86,15.1,111.72,46.78,20.87,333.78,9.35,66.5,5.58,63.93
"2017-Sep","2017-09-01",144.32,120.28,43.71,87.67,153.86,14.7,101.69,43.3,20.27,333.78,7.9,66.03,5.17,63.59
"2018-Apr","2018-04-01",186.25,130.25,50.16,85.41,165.39,16.94,136.89,47.01,23.61,330.0,10.18,69.48,6.53,64.53
"2018-Aug","2018-08-01",203.07,136.14,53.43,85.41,165.39,18.94,150.32,56.3,26.35,344.16,9.98,69.93,7.36,66.23
"2018-Dec","2018-12-01",177.31,126.32,56.4,86.25,165.39,20.85,122.27,56.88,28.01,348.25,9.98,70.62,6.48,65.85
"2018-Feb","2018-02-01",170.5,128.89,47.93,85.21,165.39,17.23,123.46,52.58,22.82,331.58,9.44,69.32,5.61,63.9
"2018-Jan","2018-01-01",170.72,126.47,47.11,85.21,162.33,17.65,124.48,52.82,21.9,330.32,9.44,68.66,5.55,63.89
"2018-Jul","2018-07-01",202.01,135.39,52.44,85.41,165.39,18.79,150.32,53.74,25.79,344.79,9.98,69.89,7.16,66.15
"2018-Jun","2018-06-01",200.3,137.2,51.8,85.41,165.39,17.43,149.3,50.09,25.7,344.79,9.98,69.55,6.81,65.6
"2018-Mar","2018-03-01",172.84,127.68,48.06,85.21,165.39,17.03,125.67,49.39,23.24,331.58,9.44,69.27,6.2,63.97
"2018-May","2018-05-01",202.43,133.73,51.54,85.41,165.39,16.83,151.68,46.84,24.6,348.25,9.98,69.4,6.71,65.18
"2018-Nov","2018-11-01",197.75,139.01,57.21,86.25,165.39,22.99,141.65,65.29,28.88,343.85,9.98,71.15,6.99,66.83
"2018-Oct","2018-10-01",221.59,146.27,54.59,86.25,165.39,22.85,167.67,61.46,27.92,353.6,9.98,71.12,7.23,67.1
"2018-Sep","2018-09-01",212.44,140.98,54.59,85.93,165.39,19.32,158.83,57.81,26.77,353.6,9.98,70.16,7.18,66.6
"2019-Apr","2019-04-01",197.32,132.67,58.76,86.64,165.39,17.87,139.78,52.23,28.67,337.55,10.08,69.99,6.71,66.68
"2019-Aug","2019-08-01",183.91,128.29,60.48,86.64,165.39,19.05,124.82,40.57,29.72,348.25,10.8,70.47,6.31,67.29
"2019-Dec","2019-12-01",187.74,131.91,55.84,91.81,165.39,18.27,133.15,48.52,30.94,370.9,10.9,71.59,4.65,68.01
"2019-Feb","2019-02-01",187.74,125.26,56.78,86.64,165.39,17.56,132.13,47.01,26.93,340.38,9.98,69.89,6.7,65.75
"2019-Jan","2019-01-01",180.29,122.24,56.4,86.64,165.39,17.92,125.16,48.87,26.63,348.25,9.98,69.98,6.54,65.6
"2019-Jul","2019-07-01",185.62,128.59,58.59,86.64,165.39,17.52,128.39,45.68,28.95,340.7,10.8,70.09,6.47,67.17
"2019-Jun","2019-06-01",185.62,129.19,59.15,86.64,165.39,17.12,127.71,53.51,29.55,340.7,10.8,69.99,6.72,67.12
"2019-Mar","2019-03-01",187.74,129.95,55.49,86.64,165.39,17.81,133.49,49.86,28.22,337.55,10.08,69.98,6.9,65.94
"2019-May","2019-05-01",196.68,133.27,59.06,86.64,165.39,17.94,138.93,53.11,29.25,348.25,10.08,70.01,6.7,67.13
