"mom_id","date","spices","eggs_meat_fish","food_grains","Sugar","wpi"
"2019-Nov","2019-11-01",20.92,337.53,536.87,120.73,67.58
"2019-Oct","2019-10-01",20.34,330.5,531.25,121.35,67.51
"2019-Sep","2019-09-01",20.03,328.46,528.94,121.55,67.14
"2020-Apr","2020-04-01",22.02,331.86,534.55,118.9,66.02
"2020-Aug","2020-08-01",22.3,348.2,527.62,120.84,67.75
"2020-Dec","2020-12-01",22.82,343.21,520.02,119.92,69.35
"2020-Feb","2020-02-01",21.51,348.88,539.84,119.82,67.4
"2020-Jan","2020-01-01",20.8,347.52,545.13,121.14,68.11
"2020-Jul","2020-07-01",22.3,344.8,532.24,121.45,67.18
"2020-Jun","2020-06-01",22.0,346.16,533.89,120.02,66.23
"2020-Mar","2020-03-01",21.43,333.22,527.95,119.21,66.42
"2020-May","2020-05-01",22.57,334.36,535.55,117.47,65.35
"2020-Nov","2020-11-01",22.48,338.22,524.64,119.92,69.34
"2020-Oct","2020-10-01",22.24,344.34,522.33,119.51,68.68
"2020-Sep","2020-09-01",22.28,342.07,523.98,120.53,68.27
"2021-Apr","2021-04-01",23.42,367.95,531.91,119.72,72.77
"2021-Aug","2021-08-01",23.54,360.23,532.24,121.85,75.17
"2021-Dec","2021-12-01",23.8,366.59,545.46,126.03,78.83
"2021-Feb","2021-02-01",23.0,351.15,520.02,118.29,70.63
"2021-Jan","2021-01-01",22.78,341.17,519.36,118.49,69.82
"2021-Jul","2021-07-01",23.38,372.26,527.62,118.59,74.52
"2021-Jun","2021-06-01",23.53,376.35,532.9,119.61,73.78
"2021-Mar","2021-03-01",22.75,351.84,522.33,118.19,71.51
"2021-May","2021-05-01",23.6,370.45,535.88,120.43,73.38
"2021-Nov","2021-11-01",23.96,369.99,544.14,126.75,78.99
"2021-Oct","2021-10-01",23.6,366.36,540.83,129.19,77.51
"2021-Sep","2021-09-01",23.82,375.22,538.52,127.97,75.79
"2022-Apr","2022-04-01",25.56,384.98,565.61,125.83,83.39
"2022-Aug","2022-08-01",26.74,388.61,584.77,126.64,84.13
"2022-Dec","2022-12-01",27.44,379.07,609.22,128.68,82.31
"2022-Feb","2022-02-01",24.8,379.76,548.1,125.52,79.74
"2022-Jan","2022-01-01",24.89,375.9,546.78,125.73,78.99
"2022-Jul","2022-07-01",26.08,392.92,570.24,125.83,84.35
"2022-Jun","2022-06-01",25.63,397.91,563.96,126.24,85.09
"2022-Mar","2022-03-01",25.05,384.98,558.67,125.42,81.57
"2022-May","2022-05-01",25.83,394.06,567.26,126.85,84.92
"2022-Nov","2022-11-01",27.47,378.62,600.96,128.58,83.36
"2022-Oct","2022-10-01",26.97,380.89,593.36,127.46,83.84
