COMM_NAME,COMM_CODE,COMM_WT,BASE Price,WT_INDX042012,WT_INDX052012,WT_INDX062012,WT_INDX072012,WT_INDX082012,WT_INDX092012,WT_INDX102012,WT_INDX112012,WT_INDX122012,WT_INDX012013,WT_INDX022013,WT_INDX032013,WT_INDX042013,WT_INDX052013,WT_INDX062013,WT_INDX072013,WT_INDX082013,WT_INDX092013,WT_INDX102013,WT_INDX112013,WT_INDX122013,WT_INDX012014,WT_INDX022014,WT_INDX032014,WT_INDX042014,WT_INDX052014,WT_INDX062014,WT_INDX072014,WT_INDX082014,WT_INDX092014,WT_INDX102014,WT_INDX112014,WT_INDX122014,WT_INDX012015,WT_INDX022015,WT_INDX032015,WT_INDX042015,WT_INDX052015,WT_INDX062015,WT_INDX072015,WT_INDX082015,WT_INDX092015,WT_INDX102015,WT_INDX112015,WT_INDX122015,WT_INDX012016,WT_INDX022016,WT_INDX032016,WT_INDX042016,WT_INDX052016,WT_INDX062016,WT_INDX072016,WT_INDX082016,WT_INDX092016,WT_INDX102016,WT_INDX112016,WT_INDX122016,WT_INDX012017,WT_INDX022017,WT_INDX032017,WT_INDX042017,WT_INDX052017,WT_INDX062017,WT_INDX072017,WT_INDX082017,WT_INDX092017,WT_INDX102017,WT_INDX112017,WT_INDX122017,WT_INDX012018,WT_INDX022018,WT_INDX032018,WT_INDX042018,WT_INDX052018,WT_INDX062018,WT_INDX072018,WT_INDX082018,WT_INDX092018,WT_INDX102018,WT_INDX112018,WT_INDX122018,WT_INDX012019,WT_INDX022019,WT_INDX032019,WT_INDX042019,WT_INDX052019,WT_INDX062019,WT_INDX072019,WT_INDX082019,WT_INDX092019,WT_INDX102019,WT_INDX112019,WT_INDX122019,WT_INDX012020,WT_INDX022020,WT_INDX032020,WT_INDX042020,WT_INDX052020,WT_INDX062020,WT_INDX072020,WT_INDX082020,WT_INDX092020,WT_INDX102020,WT_INDX112020,WT_INDX122020,WT_INDX012021,WT_INDX022021,WT_INDX032021,WT_INDX042021,WT_INDX052021,WT_INDX062021,WT_INDX072021,WT_INDX082021,WT_INDX092021,WT_INDX102021,WT_INDX112021,WT_INDX122021,WT_INDX012022,WT_INDX022022,WT_INDX032022,WT_INDX042022,WT_INDX052022,WT_INDX062022,WT_INDX072022,WT_INDX082022,WT_INDX092022,WT_INDX102022,WT_INDX112022,WT_INDX122022,WT_INDX012023,WT_INDX022023,WT_INDX032023,WT_INDX042023,WT_INDX052023,WT_INDX062023,WT_INDX072023,WT_INDX082023,WT_INDX092023,WT_INDX102023
a2. PULSES,1101010200,0.6386,105.4,0.6386,0.674952941,0.690705882,0.747658824,0.780376471,0.783405882,0.770682353,0.765229412,0.742205882,0.727058824,0.704035294,0.697976471,0.710094118,0.706458824,0.701611765,0.691917647,0.683435294,0.693129412,0.702217647,0.704641176,0.697976471,0.683435294,0.684041176,0.696158824,0.703429412,0.713123529,0.705247059,0.714335294,0.7313,0.7313,0.731905882,0.733117647,0.740994118,0.773711765,0.780376471,0.792494118,0.8137,0.873076471,0.941541176,0.948205882,0.979105882,1.010005882,1.079682353,1.092405882,1.083317647,1.062111765,1.025152941,1.011823529,1.093011765,1.145723529,1.199041176,1.285682353,1.235394118,1.203888235,1.275988235,1.299617647,1.243270588,1.106947059,0.996070588,0.933058824,0.943964706,0.920335294,0.892464706,0.882164706,0.879741176,0.911852941,0.879135294,0.837935294,0.805823529,0.770076471,0.7519,0.740994118,0.731905882,0.725847059,0.711911765,0.730088235,0.755535294,0.746447059,0.760382353,0.792494118,0.822788235,0.827635294,0.833088235,0.819758824,0.836723529,0.859747059,0.876105882,0.876105882,0.879135294,0.880347059,0.886405882,0.924576471,0.931241176,0.933664706,0.928211765,0.917305882,0.959111765,0.967594118,0.964564706,0.965776471,0.965776471,0.990617647,1.028788235,1.045147059,1.021517647,1.007582353,1.023335294,1.037876471,1.062111765,1.084529412,1.076047059,1.046964706,1.057264706,1.082711765,1.080288235,1.074835294,1.061505882,1.054235294,1.051205882,1.0609,1.058476471,1.051205882,1.045752941,1.0609,1.084529412,1.079076471,1.085135294,1.080894118,1.079076471,1.079076471,1.078470588,1.093011765,1.118458824,1.1124,1.142088235,1.162688235,1.197223529,1.273564706,1.300223529
Arhar,1101010202,0.12914,97.1,0.12914,0.13259792,0.135124861,0.144434645,0.153744428,0.157734336,0.154675407,0.152148465,0.146562595,0.145099629,0.147094583,0.154675407,0.157069351,0.157202348,0.156537364,0.154941401,0.155207394,0.155872379,0.157468342,0.158266323,0.157468342,0.157069351,0.157468342,0.158266323,0.160394274,0.160926262,0.159729289,0.162522225,0.168640082,0.168241092,0.167975098,0.169837055,0.170502039,0.178614851,0.184998702,0.192579526,0.197367415,0.20920414,0.231015633,0.232478599,0.246709269,0.261870917,0.291263234,0.288736292,0.296317116,0.287007333,0.273308651,0.267589784,0.28926828,0.288337302,0.288869289,0.286076354,0.259343975,0.245512297,0.242586365,0.237931473,0.220774871,0.187126653,0.177018888,0.167576107,0.16917207,0.161724243,0.157335345,0.151749475,0.153478435,0.157468342,0.151350484,0.148424552,0.149754521,0.15281345,0.154941401,0.155074398,0.153345438,0.154143419,0.150552503,0.147892564,0.147360577,0.147360577,0.14549862,0.151616478,0.164783172,0.169970051,0.177683872,0.176087909,0.181939773,0.19111656,0.198830381,0.199761359,0.203485273,0.20016035,0.200027353,0.204283254,0.205613223,0.202155304,0.203219279,0.200692338,0.207076189,0.208805149,0.2109331,0.212928054,0.213992029,0.220508877,0.230882636,0.232079609,0.224897775,0.221838847,0.230350649,0.232744593,0.235936519,0.238995448,0.237798476,0.231946612,0.235936519,0.239261442,0.240458414,0.234340556,0.234739547,0.233808568,0.23460655,0.236601504,0.234207559,0.233675572,0.231680618,0.239793429,0.251098167,0.254290093,0.255620062,0.257615015,0.258944985,0.259875963,0.262402904,0.268254768,0.275436601,0.281421462,0.300972008,0.317064634,0.330098332,0.356697714,0.36547551
Urad,1101010205,0.09165,90.7,0.09165,0.091751047,0.093064664,0.098925413,0.103371499,0.103371499,0.100340077,0.098521224,0.098218082,0.09751075,0.097308655,0.09751075,0.097207607,0.097308655,0.096197133,0.097611797,0.097308655,0.098117034,0.098925413,0.104179879,0.104786163,0.106807111,0.109636439,0.109434344,0.110849008,0.116305568,0.117720232,0.123580981,0.128330209,0.129340684,0.125601929,0.125298787,0.126006119,0.13297839,0.133483627,0.135100386,0.140253804,0.151267971,0.162080044,0.164505182,0.169456505,0.173599449,0.198962348,0.206844046,0.20553043,0.20825871,0.201387486,0.200275965,0.215230981,0.233419515,0.250193385,0.246252536,0.231701709,0.213816318,0.201084344,0.190373319,0.180268578,0.169355458,0.159755954,0.152682635,0.151065877,0.147226075,0.142274752,0.135504576,0.128532304,0.130452205,0.129037541,0.124995645,0.122267365,0.116002426,0.113779383,0.113274146,0.111657387,0.109535391,0.107009206,0.10801968,0.110950055,0.108727012,0.112162624,0.119842227,0.124591455,0.12479355,0.125804024,0.123378886,0.12479355,0.129845921,0.133483627,0.132877343,0.133180485,0.134393054,0.137525524,0.16379785,0.178853914,0.182794763,0.181481147,0.178752867,0.182491621,0.189665987,0.185927233,0.183603142,0.182794763,0.179460198,0.183401047,0.190070176,0.193000551,0.196031974,0.198659206,0.198760254,0.19734559,0.198255017,0.196234068,0.184815711,0.181784289,0.183401047,0.181380099,0.181582194,0.18289581,0.179864388,0.177742393,0.178550772,0.178146582,0.176125634,0.177136108,0.179258104,0.18016753,0.181784289,0.185927233,0.188150276,0.191990077,0.190979603,0.186533517,0.187543991,0.190979603,0.187240849,0.198558159,0.197850827,0.198962348,0.207652426,0.209370232
Potato,1101020101,0.27737,142.4,0.27737,0.303665611,0.363268996,0.379046362,0.385668961,0.368917683,0.336778603,0.333272521,0.288083027,0.277175218,0.25282743,0.241724838,0.29003085,0.328208181,0.344569895,0.352750751,0.332688174,0.316326461,0.365995948,0.486760976,0.416444565,0.303081264,0.281070864,0.308340386,0.367943771,0.43631236,0.484034024,0.517926145,0.564673897,0.605188617,0.614343385,0.623692935,0.391707212,0.267825667,0.226337037,0.212702275,0.195756215,0.20549533,0.230622247,0.254385688,0.25711264,0.255554382,0.269189143,0.296458666,0.26724132,0.239582233,0.248542219,0.259450028,0.326649923,0.378072451,0.417418476,0.448778427,0.458712324,0.447609733,0.418197605,0.393070688,0.25029526,0.199651861,0.18854927,0.177446678,0.193808392,0.212312711,0.219130091,0.258281334,0.25711264,0.238218757,0.232959635,0.232959635,0.229258771,0.216987486,0.21055967,0.254190906,0.332688174,0.400277633,0.437481053,0.452479291,0.440208006,0.428521067,0.453063638,0.439234094,0.325286447,0.275422177,0.255943947,0.260618722,0.278733476,0.307561257,0.331324698,0.343206419,0.342232507,0.331909045,0.364242907,0.401835892,0.488124452,0.510913982,0.411380225,0.420534993,0.451700162,0.469230569,0.51753658,0.580256482,0.627783364,0.725758862,0.798607444,0.956575892,0.709786713,0.390928083,0.287303897,0.280096952,0.316131678,0.3467125,0.356646397,0.367359424,0.393070688,0.370475941,0.398524593,0.495720962,0.408263708,0.334441215,0.33229861,0.353919445,0.37885158,0.451894944,0.504680948,0.567595632,0.567595632,0.554934782,0.577529529,0.563894768,0.490267058,0.359568132,0.284382163,0.263345674,0.305808216,0.370086376,0.397940246,0.431053237,0.43124802,0.413328048,0.40845849
Cabbage,1101020111,0.12251,182,0.12251,0.13624189,0.145665736,0.127625802,0.082391341,0.075256143,0.077006286,0.074381071,0.065361104,0.058831725,0.05661039,0.05344667,0.05809128,0.071957797,0.114970923,0.162157467,0.185111264,0.170167736,0.135905324,0.186794093,0.102181418,0.071284665,0.058427846,0.053177418,0.055869945,0.070611533,0.104806632,0.142771269,0.132001159,0.12251,0.116990319,0.105950956,0.115307489,0.117326885,0.101979478,0.085151181,0.088045648,0.089257286,0.109989747,0.11470167,0.131193401,0.122577313,0.117326885,0.100363962,0.090603549,0.095988604,0.076938973,0.077544791,0.07646778,0.109181989,0.155022269,0.191304077,0.134761,0.107162593,0.10265261,0.09820994,0.066438115,0.056206511,0.052638912,0.060581868,0.079025681,0.103594995,0.105008571,0.095921291,0.128702813,0.174408467,0.293485495,0.267300665,0.184168879,0.106085582,0.075929275,0.056206511,0.061322313,0.073506,0.079766126,0.109653181,0.131866533,0.123923577,0.117461511,0.096123231,0.070073027,0.073102121,0.078083297,0.080170005,0.101104407,0.106287522,0.106018269,0.128500874,0.143444401,0.122577313,0.129375945,0.145463797,0.13031833,0.104402753,0.068322885,0.053581297,0.060245302,0.062130071,0.077881357,0.085420434,0.095113533,0.125741033,0.207055363,0.16983117,0.083468352,0.062197385,0.048532808,0.045974907,0.045907593,0.061928132,0.070611533,0.091949813,0.09820994,0.098546505,0.109855121,0.135434132,0.176562489,0.181072473,0.14532917,0.09168056,0.087035951,0.111672577,0.155560775,0.165523126,0.200795236,0.173331456,0.187197973,0.115442115,0.075054203,0.070005714,0.06906333,0.062803203,0.069871088,0.079294934,0.08131433,0.125606407,0.148358264,0.118471209,0.138193973
Carrot,1101020112,0.01874,133,0.01874,0.01871182,0.022037113,0.025644211,0.021938481,0.019796767,0.023417955,0.021149429,0.014696105,0.014470662,0.011074917,0.01060994,0.015217444,0.018542737,0.017316887,0.018430015,0.01935997,0.019486782,0.022614812,0.031280301,0.013878872,0.010356316,0.011539895,0.012963008,0.015372436,0.016372842,0.021064887,0.025291955,0.022206195,0.032407519,0.03123803,0.029462662,0.019839038,0.019782677,0.013371624,0.017091444,0.01561197,0.018866812,0.019106346,0.024615624,0.024615624,0.024615624,0.024615624,0.024615624,0.024615624,0.024615624,0.024615624,0.024615624,0.019275429,0.018852722,0.022375278,0.025306045,0.023164331,0.023037519,0.022938887,0.020557639,0.01621785,0.014329759,0.012061233,0.013878872,0.01624603,0.019514962,0.02064218,0.019134526,0.018641368,0.01876818,0.021008526,0.026700977,0.022107564,0.019275429,0.015907865,0.014484752,0.013963414,0.013991594,0.01434385,0.017077353,0.017683233,0.016006496,0.019402241,0.019092256,0.015823323,0.013526617,0.012610752,0.013343444,0.01562606,0.017330977,0.018472286,0.021769398,0.02372794,0.024841068,0.030195353,0.035070571,0.028504526,0.025052421,0.019937669,0.019726316,0.019571323,0.019627684,0.019698135,0.019557233,0.019867218,0.023572947,0.027250496,0.03184391,0.023164331,0.017049173,0.015217444,0.015921955,0.01747188,0.016781459,0.020360376,0.023206602,0.024925609,0.025869654,0.024883338,0.029462662,0.027997278,0.02622191,0.023995654,0.02186803,0.025404677,0.024221098,0.026644617,0.030801233,0.034887398,0.036507774,0.036902301,0.034633774,0.023911113,0.020444917,0.018993624,0.01997994,0.020360376,0.021614406,0.026278271,0.032210256,0.031054857,0.027236406,0.026278271
Pointed gourd,1101020115,0.0021,146.5,0.0021,0.001194061,0.001149625,0.001022048,0.000775495,0.000989078,0.001082253,0.001163959,0.001621229,0.002742184,0.003180819,0.002948601,0.0016843,0.001224164,0.001416246,0.001238498,0.001993925,0.001927986,0.002577338,0.002433993,0.002663345,0.003556382,0.002206075,0.00172157,0.001522321,0.001248532,0.001691468,0.001591126,0.001618362,0.001506553,0.001671399,0.001847713,0.002346553,0.003768532,0.001568191,0.001538089,0.001450648,0.001325939,0.001287235,0.001644164,0.001644164,0.001644164,0.001644164,0.001644164,0.001644164,0.001644164,0.001644164,0.001644164,0.001935154,0.001599727,0.001629829,0.001186894,0.00109802,0.001009147,0.001374676,0.00155959,0.001771741,0.002108601,0.002465529,0.002411058,0.002247645,0.001525188,0.001252833,0.000936041,0.001173993,0.001166826,0.001234198,0.00151802,0.001419113,0.001658498,0.00205843,0.002240478,0.001659932,0.001257133,0.001239932,0.001070785,0.00155959,0.001371809,0.001341706,0.001424846,0.001628396,0.001811877,0.002150171,0.003043208,0.002494198,0.002108601,0.00143058,0.001182594,0.001424846,0.001609761,0.001949488,0.001950922,0.001819044,0.002263413,0.003246758,0.002798089,0.00260744,0.001324505,0.001129556,0.000977611,0.001221297,0.002439727,0.002082799,0.002059863,0.00164273,0.002694881,0.003511945,0.00327686,0.002416792,0.001837679,0.001608328,0.001194061,0.001076519,0.001364642,0.002206075,0.002454061,0.002241911,0.003638089,0.004635768,0.004175631,0.002918498,0.001882116,0.00180041,0.00184198,0.00218314,0.001960956,0.001869215,0.001723003,0.001919386,0.003229556,0.003974949,0.003461775,0.002763686,0.002046962,0.001925119,0.002247645,0.001690034,0.001535222,0.001877816
Mango,1101020202,0.46209,101.3,0.46209,0.436088885,0.418298648,0.429702646,0.443843603,0,0,0,0,0,0,0,0.436545044,0.399596091,0.374963455,0.369945696,0.398683771,0,0,0,0,0,0,0,0.480336397,0.471669358,0.467563919,0.493565035,0.535075587,0,0,0,0,0,0,0,0.620833653,0.550128865,0.51819767,0.523215429,0.552865824,0,0,0,0,0,0,0,0.649115568,0.581603899,0.549672705,0.599394136,0.63314997,0,0,0,0,0,0,0,0.598025656,0.488547275,0.509530632,0.589814778,0.703854758,0,0,0,0,0,0,0,0.827474097,0.671011244,0.516829191,0.4598092,0.493565035,0,0,0,0,0,0,0,0.818807058,0.711153317,0.630413011,0.651396367,0.732592833,0,0,0,0,0,0,0,0.895898085,0.847545133,0.80740306,0.743996831,0.829298736,0,0,0,0,0,0,0,1.0391323,0.801472981,0.57521766,0.551041185,0.733961313,0,0,0,0,0,0,0,1.118047966,0.890424166,0.820631698,0.92509232,1.174611797,0,0,0,0,0,0,0,1.014499664,0.847088973,0.686976841,0.650940207,0.774103386,0,0
Amla,1101020216,0.01837,100,0.01837,0.01994982,0.01972938,0.01967427,0.02652628,0.02617725,0.02224607,0.01825978,0.01596353,0.01833326,0.01976612,0.02022537,0.02162149,0.02410144,0.02788566,0.02999821,0.0319638,0.02423003,0.01871903,0.01592679,0.01607375,0.01699225,0.01886599,0.02261347,0.02592007,0.02909808,0.03653793,0.04030378,0.03933017,0.03339666,0.0207581,0.01759846,0.01662485,0.01960079,0.02224607,0.02887764,0.02953896,0.02784892,0.02670998,0.02979614,0.02812447,0.02654465,0.02448721,0.02301761,0.02301761,0.02233792,0.02413818,0.02413818,0.02812447,0.02909808,0.04346342,0.04755993,0.05073794,0.04513509,0.03189032,0.02762848,0.02459743,0.02290739,0.02272369,0.02514853,0.02614051,0.03477441,0.04599848,0.05435683,0.06341324,0.05071957,0.02827143,0.02285228,0.02524038,0.02854698,0.03391102,0.03675837,0.03578476,0.0360052,0.03402124,0.02676509,0.03124737,0.03220261,0.03110041,0.02779381,0.02579148,0.0242484,0.02764685,0.03075138,0.03209239,0.03521529,0.04669654,0.05942695,0.05652449,0.04649447,0.03282719,0.02858372,0.0270039,0.02863883,0.03255164,0.03525203,0.03539899,0.03264349,0.03440701,0.0371074,0.04506161,0.04796407,0.03549084,0.03143107,0.033066,0.03372732,0.03694207,0.03648282,0.04221426,0.04248981,0.03951387,0.03670326,0.03872396,0.03951387,0.03504996,0.03056768,0.03106367,0.03187195,0.03257001,0.03795242,0.04412474,0.04116717,0.04083651,0.03896277,0.0446391,0.04542901,0.03703392,0.03376406,0.03574802,0.03707066,0.03892603,0.03822797,0.04517183,0.04688024,0.04640262,0.04654958,0.04860702,0.05029706,0.04467584
"d.  EGGS,MEAT & FISH",1101040000,2.40156,105.8,2.40156,2.458307637,2.526404802,2.524134896,2.528674707,2.58769225,2.535484423,2.51732518,2.551373762,2.710267146,2.787443932,2.728426389,2.703457429,2.764744877,2.898669301,2.835111947,2.871430435,2.805603176,2.851001285,2.846461474,2.903209112,3.01443448,2.950877127,2.896399395,2.819222609,2.966766465,3.028053913,2.984925709,2.978115992,2.966766465,3.007624764,3.018974291,2.903209112,2.898669301,2.912288733,2.934987788,2.946337316,3.037133535,3.003084953,2.978115992,2.916828544,2.896399395,2.91909845,2.953147032,3.080261739,3.082531645,3.048483062,3.066642306,3.093881172,3.127929754,3.071182117,3.023514102,2.94406741,2.903209112,2.916828544,2.978115992,2.996275236,3.057562684,3.064372401,3.046213157,3.068912212,3.096151078,3.139279282,3.134739471,3.062102495,3.062102495,3.08480155,3.118850132,3.046213157,3.068912212,3.057562684,3.021244197,3.007624764,3.100690888,3.137009376,3.161978336,3.062102495,3.048483062,3.071182117,3.118850132,3.18013758,3.236885217,3.264124083,3.198296824,3.243694934,3.275473611,3.314062004,3.275473611,3.277743516,3.284553233,3.304982382,3.375349452,3.386698979,3.475225293,3.488844726,3.332221248,3.318601815,3.343570775,3.46160586,3.447986427,3.482035009,3.420747561,3.443446616,3.382159168,3.432097089,3.41166794,3.511543781,3.518353497,3.679516786,3.704485747,3.763503289,3.722644991,3.60234,3.752153762,3.663627448,3.699945936,3.665897353,3.758963478,3.797551871,3.849759698,3.849759698,3.940555917,3.97914431,3.929206389,3.886078185,3.888348091,3.808901399,3.786202344,3.790742155,3.858839319,3.854299509,3.901967524,3.88380828,4.022272514,4.085829868,4.006383176,3.958715161,3.95417535,3.901967524
Fish-Inland,1101040002,0.525,102.1,0.525,0.534255632,0.546596474,0.554823702,0.565107738,0.574877571,0.586704212,0.588246817,0.594417238,0.66486288,0.690058766,0.674632713,0.67668952,0.669490695,0.686459354,0.686973555,0.713712047,0.676175318,0.725538688,0.705999021,0.704456415,0.731709109,0.738907933,0.731709109,0.709084231,0.718854065,0.72039667,0.688516161,0.679260529,0.707541626,0.728109696,0.72039667,0.715768854,0.688001959,0.695714985,0.701371205,0.716797258,0.691087169,0.689544564,0.683374143,0.675146915,0.712683643,0.738393732,0.739936337,0.752791381,0.758961802,0.758961802,0.750220372,0.761532811,0.770788443,0.724510284,0.696743389,0.679260529,0.689030362,0.680803134,0.698285994,0.705999021,0.738393732,0.742507346,0.735308521,0.735822723,0.727081293,0.735822723,0.723996082,0.731709109,0.742507346,0.741993144,0.741478942,0.716797258,0.73222331,0.737365328,0.728109696,0.721939275,0.738393732,0.738393732,0.749191969,0.726052889,0.743535749,0.743535749,0.757419197,0.765646425,0.766674829,0.770274241,0.771816846,0.771302644,0.775416259,0.774902057,0.770274241,0.786214496,0.794955926,0.795984329,0.805754163,0.795470127,0.804725759,0.793927522,0.782100881,0.776444662,0.771816846,0.777473066,0.768731636,0.77284525,0.774387855,0.739422135,0.677717924,0.689544564,0.702399608,0.717825661,0.683374143,0.695714985,0.692629775,0.698285994,0.712169442,0.715254652,0.795470127,0.800097943,0.801126347,0.801126347,0.842262488,0.843805093,0.8458619,0.835577865,0.836092067,0.841748286,0.862830558,0.875171401,0.876199804,0.890083252,0.894711068,0.897282076,0.897796278,0.89831048,0.889054848,0.866944172,0.878256611,0.885455436,0.895739471,0.896767875,0.879799216,0.870029383
Mutton,1101040004,0.44094,104.8,0.44094,0.444305954,0.453983073,0.453983073,0.453983073,0.456928282,0.463660191,0.467026145,0.469971355,0.473337309,0.475441031,0.485959637,0.492691546,0.495636756,0.49900271,0.498161221,0.502368664,0.508679828,0.512887271,0.518356947,0.515411737,0.515411737,0.517515458,0.521302156,0.523826622,0.528454809,0.535186718,0.533082996,0.533924485,0.534345229,0.538131927,0.549912767,0.551175,0.543601603,0.567163282,0.579364866,0.568425515,0.568425515,0.568425515,0.566321794,0.566742538,0.568425515,0.574736679,0.571370725,0.567163282,0.565480305,0.564218073,0.562114351,0.562114351,0.567163282,0.570949981,0.559589885,0.582730821,0.569687748,0.557486164,0.557906908,0.559589885,0.559169141,0.555803187,0.555803187,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.554961698,0.557906908,0.561693607,0.560431374,0.54822979,0.546126069,0.54822979,0.543180859,0.530558531,0.535607462,0.537711183,0.544863836,0.544863836,0.54822979,0.544863836,0.544863836,0.547388302,0.570529237,0.575998912,0.584834542,0.583572309,0.61512813,0.622280782,0.622280782,0.612603664,0.602926546,0.594932405,0.657202557,0.716948244,0.714423779,0.720314198,0.721576431,0.721576431,0.721576431,0.721576431,0.723259408,0.723680153,0.724942385,0.726625363,0.727466851,0.729991317,0.727466851,0.727466851,0.730832805,0.730832805,0.730832805,0.730832805,0.730832805,0.751449275,0.759443416,0.761967882,0.779639141,0.775431698,0.777114676,0.787633282,0.793523702,0.801517844,0.803200821,0.804883798,0.804883798,0.803621565,0.800255611,0.803200821,0.795206679
Beef and Buffalo Meat,1101040005,0.16159,103.5,0.16159,0.161746126,0.161433874,0.161121623,0.161121623,0.161121623,0.161121623,0.161121623,0.161121623,0.161746126,0.161746126,0.164712512,0.164712512,0.168615652,0.16799115,0.175329053,0.176578058,0.17579743,0.175953556,0.180481198,0.181730203,0.18219858,0.181574077,0.180949575,0.181574077,0.183759836,0.183759836,0.186413971,0.192190618,0.191722242,0.191878367,0.190317111,0.187662976,0.186570097,0.186882348,0.186882348,0.185008841,0.183447585,0.180325072,0.184696589,0.186726222,0.185477217,0.185164966,0.184384338,0.193127372,0.193908,0.193751874,0.194220251,0.196874386,0.195937633,0.197498889,0.198279517,0.198279517,0.198279517,0.198435643,0.198747894,0.198123391,0.199840773,0.200153024,0.199996899,0.222635111,0.228567884,0.228567884,0.229192386,0.231534271,0.231222019,0.231378145,0.233720029,0.233095527,0.233720029,0.233251652,0.232002647,0.229348512,0.228411758,0.230909768,0.23012914,0.227162754,0.234969034,0.236374164,0.238716048,0.238716048,0.238716048,0.238716048,0.238716048,0.235281285,0.234656783,0.240277304,0.2457417,0.249332589,0.25214285,0.25214285,0.248551961,0.244804947,0.243399816,0.256514367,0.277435198,0.27275143,0.273063681,0.260105256,0.260105256,0.257763372,0.238559923,0.219512599,0.226850502,0.249176464,0.25994913,0.272595304,0.265413527,0.259012377,0.264632899,0.264320647,0.255889865,0.256202116,0.254953111,0.260573633,0.259636879,0.248864213,0.252455101,0.250425469,0.242775314,0.244024319,0.241994686,0.243555942,0.25073772,0.242775314,0.241994686,0.241526309,0.244180444,0.247771333,0.242775314,0.247459082,0.251206097,0.255577614,0.254172483,0.258700126,0.261666512,0.257607246,0.263852271,0.262291014
Poultry Chicken,1101040006,0.55906,108.8,0.55906,0.593487408,0.619179504,0.603764246,0.58321057,0.623804081,0.583724412,0.542617059,0.575502941,0.657203805,0.68803432,0.654120754,0.611985717,0.66645296,0.769221342,0.692658897,0.697283474,0.65309307,0.642816232,0.609930349,0.656689963,0.73633546,0.676729798,0.662856066,0.614041085,0.722461728,0.754319926,0.745584614,0.745584614,0.716295625,0.730683199,0.719378676,0.595028934,0.627400974,0.632025551,0.63973318,0.657717647,0.742501563,0.695228107,0.675188272,0.638705496,0.605305772,0.600681195,0.61815182,0.69625579,0.678271324,0.661828382,0.693172739,0.727600147,0.758430662,0.74455693,0.729141673,0.676215956,0.643843915,0.67467443,0.713726415,0.708074154,0.728627831,0.742501563,0.725030938,0.741987721,0.760486029,0.770249026,0.775387445,0.700366526,0.690603529,0.711671048,0.703449577,0.674160588,0.667994485,0.671591379,0.651551544,0.640247022,0.666966801,0.670563695,0.679299007,0.643330074,0.65309307,0.676729798,0.695228107,0.733252408,0.738390827,0.753806085,0.748153824,0.77949818,0.783095074,0.772818235,0.749695349,0.740960037,0.746612298,0.752778401,0.769221342,0.76613829,0.780012022,0.800051857,0.73119704,0.729141673,0.752264559,0.823688585,0.823688585,0.831910055,0.772304393,0.765624449,0.708074154,0.720920202,0.710129522,0.751750717,0.848352996,0.920804706,0.876614301,0.891515717,0.899223346,0.804162592,0.812897904,0.781553548,0.77127671,0.766652132,0.780012022,0.809814853,0.91104171,0.872503566,0.930567702,0.918749338,0.840645368,0.812897904,0.857602151,0.804676434,0.73119704,0.727600147,0.748667665,0.747639982,0.796968805,0.788233493,0.842700735,0.860685202,0.817522482,0.825743952,0.85194989,0.826771636
Raw Jute,1102010002,0.05453,101.6,0.05453,0.053295561,0.05581811,0.059897126,0.061292579,0.062312333,0.059467756,0.058018632,0.057159892,0.059843455,0.062419675,0.06644502,0.066552362,0.065854636,0.064029813,0.063171073,0.06091688,0.061024222,0.064351841,0.063224744,0.067035404,0.067786801,0.06773313,0.066981732,0.068484528,0.071382776,0.071973159,0.06902124,0.066391348,0.066713376,0.068699213,0.071812146,0.073583297,0.073422283,0.075569134,0.075998504,0.075730148,0.076213189,0.085713002,0.08689377,0.085927687,0.089738346,0.09714498,0.105141998,0.109757726,0.116627648,0.118989183,0.121189705,0.12312187,0.124248967,0.134714862,0.13036749,0.105625039,0.104122244,0.104229587,0.105571368,0.102082736,0.102082736,0.102297421,0.101062982,0.090650758,0.08775251,0.087645167,0.084854262,0.082975768,0.085820344,0.084800591,0.081795,0.082868425,0.085605659,0.089523661,0.088986949,0.089147963,0.089255305,0.089577333,0.091348484,0.092690266,0.097520679,0.098111063,0.099184488,0.101599695,0.106537451,0.108040246,0.108737972,0.105893396,0.107235177,0.105839724,0.102726791,0.102512106,0.104444272,0.106966821,0.109543041,0.109167343,0.111153179,0.113997756,0.112816988,0.112226604,0.113192687,0.110884823,0.111850906,0.114802825,0.123765925,0.128005955,0.135519931,0.135841959,0.136217657,0.141155413,0.15167498,0.155592982,0.160262382,0.166005207,0.158759587,0.140833386,0.145127087,0.149903829,0.152426378,0.151728652,0.155324626,0.156290709,0.156505394,0.156398051,0.155109941,0.152319035,0.148723061,0.144483031,0.148454705,0.147112923,0.139276919,0.138203494,0.138149823,0.137935138,0.13718374,0.137988809,0.136808041,0.131762943,0.133963465,0.133319409,0.126610502,0.120921348
